,perovskite_composition,passivating_molecule
5945,(FAPbI3)1-x(MC)x,TiOxNy
5946,FA(MA)PbI3,ferrocenyl-bis-thiophene-2-carboxylate
5947,"MAPbCl3, MAPbBr3, MAPbI3",Cs2PbI2Cl2
5948,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,phenethylammonium iodide (PEAI)
5949,FA0.83MA0.17Pb(I0.6Br0.4)3,Cs2PbI2Cl2
5950,Cs0.05(MA0.1FA0.85PbI3)3,(BA)2PbI4
5951,FA0.95Cs0.05PbI3,phenylethylammonium iodide
5952,FAPbI3:0.95MAPbBr3:0.05,Choline chloride
5953,formamidinium lead iodide (FAI) based compound,4-trifluoromethyl-phenylammonium
5954,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,AZO/SnOx
5955,Cs0.1FA0.9PbI2.55Br0.45,2-aminoindan hydrochloride
5956,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,allylammonium (ALA)
5957,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,piperazinium iodide
5958,FA(MA)PbI3,lead sulfate
5959,Cs0.15FA0.85MA0.05PbI3,AZO/SnOx
5960,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,EDTA
5961,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,azetidinium iodide
5962,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
5963,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,ferrocenyl-bis-thiophene-2-carboxylate
5964,3D/0D perovskite,piperazinium iodide
5965,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,cyclohexylmethylammonium iodide
5966,CsPbI3-xBrx,ortho-(phenylene)di(ethylammonium) iodide
5967,FA(MA)PbI3,2-TMAI
5968,(FAPbI3)0.95(MAPbBr3)0.05,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
5969,"MAPbCl3, MAPbBr3, MAPbI3",CF3PEAI2D
5970,FA1-xMAxPbI3Br0.13,mixed cations of MDA and Cs
5971,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),Chlorine-capped TiO2
5972,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,NaF
5973,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,sodium thioglycolate
5974,FA0.85Cs0.15PbI2.85I3,Al2O3
5975,MA0.07FA0.93PbI3,phenethylammonium iodide (PEAI)
5976,Cs0.05(MA0.1FA0.85PbI3)3,(PbI2)2RbCl
5977,FA0.82Cs0.13MA0.05PbI3,PSP
5978,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
5979,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,n-butylammonium bromide (BABr)
5980,FA0.85MA0.1Cs0.05PbI2.9Br0.1,poly(4-vinylpyridine)
5981,(FAPbI3)0.95(MAPbBr3)0.05,"1,3-propane diammonium iodide"
5982,PEA2(CH3NH3)2Pb2I7,ferrocenyl-bis-thiophene-2-carboxylate
5983,Cs0.05FA0.9MA0.05PbI2.74Br0.26,4-vinylbenzylamine
5984,formamidinium-based,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
5985,Cs0.05(MA0.1FA0.85)PbI3,poly(4-vinylpyridine)
5986,FA0.8Cs0.2Pb0.5Sn0.5I3,hexafluorobenzene
5987,Cs0.05(MA0.1FA0.85PbI3)3,pentanamidine hydrochloride
5988,MA0.7FA0.3PbI3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
5989,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,sodium thioglycolate
5990,Cs0.12FA0.8MA0.08PbI1.8Br1.2,AZO/SnOx
5991,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,3F-PEA
5992,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),benzylhydrazine (BHC)
5993,3D/CLP/2D perovskite heterostructure,LiF
5994,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,2CF3-phenethylammonium iodide
5995,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
5996,Cs0.05MA0.05FA0.90PbI3,benzene
5997,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,phenylethylammonium iodide
5998,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,lead sulfate
5999,FA0.8Cs0.2Pb(I0.7Br0.3)3,TiOxNy
6000,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),isopropylammonium chloride
6001,formamidinium lead iodide (FAPbI3),ortho-(phenylene)di(ethylammonium) iodide
6002,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,4-vinylbenzylammonium bromide
6003,Cs0.05FA0.81MA0.14PbI2.55Br0.45,CF3PEAI
6004,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,2CF3-phenethylammonium iodide
6005,FA0.95Cs0.05PbI3,sodium thioglycolate
6006,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,FA0.83Cs0.17Pb0.5Sn0.5I3
6007,FA(MA)PbI3,4-trifluoromethyl-phenylammonium
6008,FAPbI3,4-vinylbenzylamine
6009,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,ZrL3
6010,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,2-TMAI
6011,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),formamidinium formate
6012,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,Al2O3
6013,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,none
6014,PEA2(CH3NH3)2Pb2I7,lead sulfate
6015,FA(MA)PbI3,EDAI2
6016,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,Choline chloride
6017,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,4-vinylbenzylammonium bromide
6018,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,phenylethylammonium iodide
6019,CH3NH3PbI3,formamidinium formate
6020,MA0.7FA0.3PbI3,Cl-cPP and Cl-bSO
6021,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,hexafluorobenzene
6022,FA0.83MA0.17PbI3,PEA2ZnX4
6023,3D/CLP/2D perovskite heterostructure,n-hexyl trimethyl ammonium bromide
6024,FA0.95Cs0.05PbI3,2CF3-phenethylammonium iodide
6025,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,Cl-cPP and Cl-bSO
6026,CsFAMAPbI3,hexyltrimethylammonium bromide
6027,PEA2(CH3NH3)2Pb2I7,ZrL3
6028,PEA2(CH3NH3)2Pb2I7,2-TMAI
6029,FA0.83Cs0.17Pb0.5Sn0.5I3,anisole
6030,MAPbI3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
6031,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
6032,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,benzene
6033,CsFAMAPbI3,LiF
6034,FA0.98Cs0.02PbI3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
6035,FA0.85MA0.15PbI3,2D perovskite
6036,Cs0.05FA0.81MA0.14PbI2.55Br0.45,mixed cations of MDA and Cs
6037,Cs0.2FA0.8Pb(I0.6Br0.4)3,Oleylammonium iodide
6038,FA0.83MA0.17Pb(I0.6Br0.4)3,oxalic acid
6039,Cs0.12FA0.8MA0.08PbI1.8Br1.2,phenylethylammonium iodide
6040,FAMAPbI3 and MAPbI3 layers (two-step method),formamidinium formate
6041,FA0.15MA0.85PbI3,poly(4-vinylpyridine)
6042,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,methylammonium chloride
6043,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
6044,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,EDAI2
6045,FA0.95MA0.05Pb(I0.92Br0.08)3,poly(methyl methacrylate)
6046,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,sodium thioglycolate
6047,PEA2(CH3NH3)2Pb2I7,4-trifluoromethyl-phenylammonium
6048,phase-pure quantum wells,phenethylammonium iodide (PEAI)
6049,FA1-xMAxPbI3Br0.13,NaF
6050,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,n-butylamine acetate
6051,FAPbI3,piperazinium iodide
6052,FA0.85Cs0.15PbI2.85I3,"N,N-dimethyl-1,3-propane diammonium diiodide"
6053,PEA2(CH3NH3)2Pb2I7,EDAI2
6054,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,hexyltrimethylammonium bromide
6055,FAPbI3:0.95MAPbBr3:0.05,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
6056,FA0.83MA0.17PbI3,(BA)2PbI4
6057,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,4-ethyl-1H-pyrrole-2-carboxylic acid
6058,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
6059,FA0.85MA0.15PbI3,methylamine
6060,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,LiF
6061,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,anisole
6062,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,2CF3-phenethylammonium iodide
6063,FA0.95MA0.05Pb(I0.92Br0.08)3,formamidine acetate
6064,Cs0.15FA0.85MA0.05PbI3,sodium thioglycolate
6065,Cs0.05MA0.05FA0.90PbI3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
6066,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),benzylhydrazine (BHC)
6067,FA0.85MA0.15PbI3,DTB(3%DEG)
6068,MAPbI3,AZO/SnOx
6069,formamidinium lead triiodide (FAPbI3),Oleylammonium iodide
6070,Cs0.17FA0.83Pb(I0.6Br0.4)3,EDTA
6071,(FAPbI3)0.95(MAPbBr3)0.05,2D perovskite
6072,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),isopropylammonium chloride
6073,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,CB-NH2
6074,FA(MA)PbI3,4-tert-butyl-benzylammonium iodide
6075,Cs0.15FA0.85MA0.05PbI3,2CF3-phenethylammonium iodide
6076,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,2CF3-phenethylammonium iodide
6077,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,FA0.83Cs0.17Pb0.5Sn0.5I3
6078,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,Oleylammonium iodide
6079,formamidinium lead iodide (FAI) based compound,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
6080,Cs0.05(MA0.1FA0.85PbI3)3,none
6081,FAPbI3:0.95MAPbBr3:0.05,Cl-cPP and Cl-bSO
6082,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,"N,N-dimethyl-1,3-propane diammonium diiodide"
6083,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,allylammonium
6084,Cs0.15FA0.85MA0.1PbI2.55Br0.45,octylammonium iodide
6085,CsFAMAPbI3,4-fluoroaniline
6086,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,formamidinium formate
6087,formamidinium-based,PEA2ZnX4
6088,Cs0.12FA0.8MA0.08PbI1.8Br1.2,sodium thioglycolate
6089,FA0.85MA0.1Cs0.05PbI2.9Br0.1,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
6090,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,CF3PEAI2D
6091,FA0.83MA0.17PbI3,(PbI2)2RbCl
6092,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),Choline chloride
6093,3D/0D perovskite,NH4Cl
6094,"MAPbCl3, MAPbBr3, MAPbI3","m-TiO2, QD-SnO2, and paa-QD-SnO2"
6095,Cs0.15FA0.85PbI2.55Br0.45,sulfonyl fluoride-functionalized phenethylammonium salt
6096,Cs0.15FA0.85PbI2.55Br0.45,poly(methyl methacrylate)
6097,FA0.83MA0.17PbI3,pentanamidine hydrochloride
6098,FA0.83MA0.17Pb(I0.6Br0.4)3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
6099,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
6100,CH3NH3PbI3,Choline chloride
6101,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,poly(methyl methacrylate)
6102,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,benzene
6103,Cs0.12FA0.8MA0.08PbI1.8Br1.2,2CF3-phenethylammonium iodide
6104,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,allylammonium (ALA)
6105,Cs0.1FA0.9PbI2.55Br0.45,formamidinium formate
6106,CsFAMAPbI3,PSP
6107,(FAPbI3)0.95(MAPbBr3)0.05,methylamine
6108,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,4-chlorophenylethylammonium iodide
6109,Cs0.1FA0.9PbI3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
6110,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,4-trifluoromethyl-phenylammonium
6111,FA0.82Cs0.13MA0.05PbI3,piperazinium iodide
6112,Cs0.05FA0.95PbI3,Oleylammonium iodide
6113,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,4-tert-butyl-benzylammonium iodide
6114,Cs0.15FA0.85MA0.1PbI2.55Br0.45,Spiro-mF
6115,(FAPbI3)0.97(MAPbBr3)0.03,Chlorine-capped TiO2
6116,FA0.85MA0.15PbI3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
6117,(FAPbI3)0.97(MAPbBr3)0.03,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
6118,FA0.83MA0.17PbI3,2-aminoindan hydrochloride
6119,(FAPbI3)0.95(MAPbBr3)0.05,DTB(3%DEG)
6120,FA0.9Cs0.1PbI3,phenethylammonium iodide
6121,FA0.83Cs0.17PbI3,PDAI2 and 3MTPAI
6122,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,formamidine acetate
6123,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,Oleylammonium iodide
6124,FAMAPbI3 and MAPbI3 layers (two-step method),Choline chloride
6125,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
6126,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,4-fluoroaniline
6127,PEA2(CH3NH3)2Pb2I7,4-tert-butyl-benzylammonium iodide
6128,(FAPbI3)0.97(MAPbBr3)0.03,benzylhydrazine (BHC)
6129,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,2D perovskite
6130,FA0.8Cs0.2Pb(I0.7Br0.3)3,"PEAI, Cl-PEAI, F-PEAI"
6131,FA0.95MA0.05Pb(I0.92Br0.08)3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
6132,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,n-butylamine acetate
6133,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,phenethylammonium iodide
6134,FA(MA)PbI3,oxalic acid
6135,FA0.98Cs0.02PbI3,PEA2ZnX4
6136,(FAPbI3)0.97(MAPbBr3)0.03,isopropylammonium chloride
6137,Cs0.05FA0.9MA0.05PbI2.74Br0.26,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
6138,FA0.9Cs0.1PbI3,azetidinium iodide
6139,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),ortho-(phenylene)di(ethylammonium) iodide
6140,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,Chlorine-capped TiO2
6141,FA(MA)PbI3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
6142,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,anisole
6143,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,3F-PEA
6144,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,phenethylammonium iodide
6145,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,PSP
6146,Cs0.15FA0.85MA0.1PbI2.55Br0.45,FA0.83Cs0.17Pb0.5Sn0.5I3
6147,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,4-chlorophenylethylammonium iodide
6148,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,cyclohexylmethylammonium iodide
6149,FA0.8Cs0.2Pb0.5Sn0.5I3,4-vinylbenzylammonium bromide
6150,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),Cl-cPP and Cl-bSO
6151,3D/CLP/2D perovskite heterostructure,4-vinylbenzylamine
6152,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,4-vinylbenzylammonium bromide
6153,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,ortho-(phenylene)di(ethylammonium) iodide
6154,Cs0.1FA0.9PbI3,CF3PEAI
6155,Cs0.05MA0.05FA0.90PbI3,butylamine
6156,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,methylamine
6157,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,cyclohexylmethylammonium iodide
6158,FA0.95Cs0.05PbI3,phenethylammonium iodide
6159,formamidinium lead iodide,Chlorine-capped TiO2
6160,Cs0.1FA0.9PbI2.55Br0.45,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
6161,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,isopropylammonium chloride
6162,FA1-xMAxPbI3Br0.13,allylammonium
6163,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,azetidinium iodide
6164,formamidinium lead iodide,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
6165,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,oxalic acid
6166,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,butylamine
6167,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,"N,N-dimethyl-1,3-propane diammonium diiodide"
6168,formamidinium-based,(PbI2)2RbCl
6169,(FAPbI3)0.95(MAPbBr3)0.05,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
6170,Cs0.15FA0.85PbI2.55Br0.45,n-butylammonium bromide (BABr)
6171,MA0.7FA0.3PbI3,octylammonium iodide
6172,Cs0.1FA0.9PbI2.55Br0.45,benzylhydrazine (BHC)
6173,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,DTB(3%DEG)
6174,Cs0.17FA0.83Pb(I0.6Br0.4)3,4-ethyl-1H-pyrrole-2-carboxylic acid
6175,Cs0.2FA0.8Pb(I0.6Br0.4)3,hexyltrimethylammonium bromide
6176,FA1-xMAxPbI3Br0.13,cross-linked polymer (CLP)
6177,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,octylammonium iodide
6178,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,poly(4-vinylpyridine)
6179,FA0.95Cs0.05PbI3,cyclohexylmethylammonium iodide
6180,FA0.98Cs0.02PbI3,(BA)2PbI4
6181,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,Choline chloride
6182,Cs0.2FA0.8Pb(I0.6Br0.4)3,LiF
6183,(FAPbI3)1-x(MC)x,benzene
6184,FAPbI3,NH4Cl
6185,PEA2(CH3NH3)2Pb2I7,oxalic acid
6186,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,4-vinylbenzylammonium bromide
6187,formamidinium lead iodide,isopropylammonium chloride
6188,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
6189,CH3NH3PbI3,CF3PEAI2D
6190,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,2-(9H-carbazol-9-yl)ethyl phosphonic acid
6191,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,butylamine
6192,FA1-xMAxPbI3Br0.13,formamidinium lead iodide (FAPbI3)
6193,CsFAMAPbI3,4-vinylbenzylamine
6194,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
6195,MA0.7FA0.3PbI3,Spiro-mF
6196,FA0.83Cs0.17PbI3,Chlorine-capped TiO2
6197,FA0.85MA0.1Cs0.05PbI2.9Br0.1,2D perovskite
6198,"MAPbCl3, MAPbBr3, MAPbI3",EDTA
6199,formamidinium lead iodide (FAPbI3),PDAI2 and 3MTPAI
6200,Cs0.1FA0.9PbI2.55Br0.45,Choline chloride
6201,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,Spiro-mF
6202,FA0.83MA0.17PbI3,none
6203,FA0.83MA0.17Pb(I0.6Br0.4)3,EDTA
6204,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,ferrocenyl-bis-thiophene-2-carboxylate
6205,Cs0.05(MA0.1FA0.85)PbI3,2D perovskite
6206,Cs0.15FA0.85MA0.1PbI2.55Br0.45,anisole
6207,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
6208,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,phenethylammonium iodide
6209,FA-based mixed perovskites,sulfonyl fluoride-functionalized phenethylammonium salt
6210,FA-based mixed perovskites,poly(methyl methacrylate)
6211,FA0.98Cs0.02PbI3,(PbI2)2RbCl
6212,formamidinium lead triiodide (FAPbI3),hexyltrimethylammonium bromide
6213,FA0.98Cs0.02PbI3,pentanamidine hydrochloride
6214,Cs0.05FA0.81MA0.14PbI2.55Br0.45,allylammonium
6215,FA0.83Cs0.17Pb0.5Sn0.5I3,Oleylammonium iodide
6216,formamidinium-based,methylammonium chloride
6217,formamidinium lead triiodide (FAPbI3),LiF
6218,MA0.07FA0.93PbI3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
6219,MA0.7FA0.3PbI3,CsMAFA-8
6220,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,cyclohexylmethylammonium iodide
6221,Cs0.15FA0.85MA0.05PbI3,phenethylammonium iodide
6222,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,phenethylammonium iodide
6223,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,CsMAFA-8
6224,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,lead sulfate
6225,Cs0.05FA0.81MA0.14PbI2.55Br0.45,cross-linked polymer (CLP)
6226,FA0.85MA0.1Cs0.05PbI2.9Br0.1,methylamine
6227,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,4-vinylbenzylamine
6228,FA-based mixed perovskites,formamidine acetate
6229,phase-pure quantum wells,formamidine acetate
6230,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,LiF
6231,Cs0.05(MA0.1FA0.85)PbI3,methylamine
6232,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),Cl-cPP and Cl-bSO
6233,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,ZrL3
6234,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,2-TMAI
6235,FA0.85MA0.1Cs0.05PbI2.9Br0.1,DTB(3%DEG)
6236,Cs0.15FA0.85MA0.05PbI3,cyclohexylmethylammonium iodide
6237,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,cyclohexylmethylammonium iodide
6238,FAPbI3:0.95MAPbBr3:0.05,octylammonium iodide
6239,Cs0.05FA0.81MA0.14PbI2.55Br0.45,formamidinium lead iodide (FAPbI3)
6240,Cs0.2FA0.8Pb(I0.6Br0.4)3,4-fluoroaniline
6241,CsPbI3-xBrx,Chlorine-capped TiO2
6242,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,azetidinium iodide
6243,Cs0.05FA0.9MA0.05PbI2.74Br0.26,PEA2ZnX4
6244,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,phenylethylammonium iodide
6245,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
6246,Cs0.12FA0.8MA0.08PbI1.8Br1.2,phenethylammonium iodide
6247,"MAPbCl3, MAPbBr3, MAPbI3",hexafluorobenzene
6248,FA0.83MA0.17Pb(I0.6Br0.4)3,hexafluorobenzene
6249,FA1-xMAxPbI3Br0.13,4-guanidinobenzoic acid hydrochloride (GBAC)
6250,Cs0.05FA0.95PbI3,hexyltrimethylammonium bromide
6251,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,FA0.83Cs0.17Pb0.5Sn0.5I3
6252,(FAPbI3)1-x(MC)x,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
6253,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,n-hexyl trimethyl ammonium bromide
6254,Cs0.05FA0.95PbI3,LiF
6255,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,benzene
6256,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,CF3PEAI2D
6257,Cs0.2FA0.8Pb(I0.6Br0.4)3,PSP
6258,Cs0.12FA0.8MA0.08PbI1.8Br1.2,cyclohexylmethylammonium iodide
6259,FAPbI3:0.95MAPbBr3:0.05,Spiro-mF
6260,(FAPbI3)0.97(MAPbBr3)0.03,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
