Unnamed: 0,perovskite_composition,electron_transport_layer,pin_nip_structure,hole_transport_layer,passivating_molecule,control_pce,control_voc,treated_pce,treated_voc,test_1,test_2,structure_pin_nip,treated_jsc,treated_ff,test_3,test_4,test_5,test_6,test_7,test_8,test_9,test_10,control_jsc,control_ff,control_pec,treated_eqe,treated_stabilized_pce,control_fill_factor,treated_fill_factor,controljsc,treatedjsc,treated_hysteresis_index,binding_energy,fill_factor,treated_iscc,IUPAC_passivator
2034,GA(MA)5Pb5I16,MeO-2PACz,PIN,C60,GAI,12.6,1.04,14.9,1.09,"{'test_name': 'Stability under continuous illumination', 'temperature': 25, 'time': 1000, 'humidity': 25, 'retained_percentage_cont': 95, 'retained_percentage_tret': None}","{'test_name': 'Thermal Cycling Test', 'temperature': -40, 'time': 400, 'humidity': None, 'retained_percentage_cont': 95, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,
2036,MAPbI3,PC61BM,NIP,PTAA,Benzylamine thiocyanate (BnASCN),17.12,1.064,19.48,1.091,"{'test_name': 'Stability test', 'temperature': 20, 'time': '20 days', 'humidity': None, 'retained_percentage_cont': 92, 'retained_percentage_tret': 99}",,,,,,,,,,,,,,,,,,,,,,,,,,Benzylamine thiocyanate
2038,Cs0.17 FA0.83 Pb(I0.83 Br0.17)3,TiO2,,,TiO2,,,,,"{'test_name': 'ISOS-D', 'temperature': '25', 'time': '120', 'humidity': None, 'retained_percentage_cont': '80', 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,titanium dioxide
2040,,,,,Methionine sulfoxide (MTSO),,,,,"{'test_name': 'Thermal aging', 'temperature': 85, 'time': 500, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 92}","{'test_name': 'Operational stability', 'temperature': 30, 'time': 2500, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,methionine sulfoxide
2042,SiO2/4H-SiC,,PIN,,Boron (B),,,,,"{'test_name': 'BTI test', 'temperature': 25, 'time': 100, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}","{'test_name': 'BTI test', 'temperature': 50, 'time': 100, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,"{'test_name': 'BTI test', 'temperature': 80, 'time': 100, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,
2043,,Ce-SnO2,,,2-phenethylamine hydroiodide (PEAI),21.05,1.08,23.26,1.19,"{'test_name': 'stability', 'temperature': 23, 'time': 1200, 'humidity': 40, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}","{'test_name': 'stability', 'temperature': 23, 'time': 2000, 'humidity': 50, 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,2-phenethylamine hydroiodide
2044,,,,ALD Cu:NiO_x / Me-4PACz,Me-4PACz,,,30.5,1.91,"{'test_name': 'MPP tracking', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 95, 'retained_percentage_tret': 95}",,,,,,,,,,,,,,,,,,,,,,,,,,
2045,,,,,Mx-SAM (mixed of Me-4PACz and MeO-PhPACz in 2:3 ratio),,,,,"{'test_name': 'ISOS-D-3', 'temperature': 85, 'time': 900, 'humidity': 85, 'retained_percentage_cont': 90, 'retained_percentage_tret': 65}",,,,,,,,,,,,,,,,,,,,,,,,,,
2046,,,,,l-α-phosphatidylcholine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2047,,,,,Spiro-OMeTAD,,,,,"{'test_name': 'Spiro-OMeTAD test', 'temperature': 25, 'time': 2400, 'humidity': 25, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}","{'test_name': 'PTAA test', 'temperature': 30, 'time': 900, 'humidity': 60, 'retained_percentage_cont': 95, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,Spiro-OMeTAD
2048,,,,,Alumina nanoplate,,,25.5,1.208,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,,,,,P18,,,,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 93, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
2051,,,,,Chelidamic acid,25.8,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Chelidamic acid
2052,,,,,F-CPE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluorinated CPE1
2055,,,,,polyvinyl acetate (PVAc),,,19.4,,"{'test_name': None, 'temperature': 60, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Polyvinyl acetate
2057,,,,,"Triphenylamine-2,1,3-benzothiadiazole-triphenylamine (TBT)",18.62,1.124,21.84,1.166,"{'test_name': 'Stability test', 'temperature': 25, 'time': 1000, 'humidity': 30, 'retained_percentage_cont': 30, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,
2059,,,,,DNA aptamer specific to creatinine,,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
2060,,SnO2,,,BCA-2K,,,,,"{'test_name': 'Moisture stability', 'temperature': 25, 'time': 1200, 'humidity': 55, 'retained_percentage_cont': 81.2, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
2061,,CuInS2 (CIS),,,PMMA,18.2,,17.2,,"{'test_name': 'ISOS-D', 'temperature': 65, 'time': 100, 'humidity': None, 'retained_percentage_cont': 75, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,,poly(methyl methacrylate)
2062,Sn-Pb mixed perovskite,,,,oxamidic acid potassium salt (OAPS),20.18,0.8200000000000001,22.04,0.86,"{'test_name': 'Storage', 'temperature': 'room temperature', 'time': 3072, 'humidity': None, 'retained_percentage_cont': 73, 'retained_percentage_tret': 91}",,,,,,,,,,,,,,,,,,,,,,,,,,oxamidic acid potassium salt
2064,CsPbI2Br,TiO2,NIP,,Polyethylene oxide (PEO),9.13,1.104,11.24,1.213,"{'test_name': 'ISOS-T', 'temperature': 25, 'time': 20, 'humidity': '20-25%', 'retained_percentage_cont': 89.1, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,polyethylene oxide
2065,,,,,"Carbazole phosphonic acid derivatives (e.g., MeO-2PACz, 4FPEAPSA)",,,,,"{'test_name': 'Thermal stability test', 'temperature': 85, 'time': 600, 'humidity': None, 'retained_percentage_cont': 93, 'retained_percentage_tret': 93}",,,,,,,,,,,,,,,,,,,,,,,,,,
2066,,,,,H3pp,20.56,,22.0,,"{'test_name': 'ISOS-L', 'temperature': None, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 75}","{'test_name': 'ISOS-O', 'temperature': None, 'time': 600, 'humidity': None, 'retained_percentage_cont': 30, 'retained_percentage_tret': 70}",,,,,,,,,,,,,,,,,,,,,,,,,
2067,,,,,PVP,,,14.9,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Polyvinylpyrrolidone
2069,,,,,TPA-ADP 1,,,,,"{'test_name': 'Stability under simulated solar illumination', 'temperature': 30, 'time': 400, 'humidity': None, 'retained_percentage_cont': 81, 'retained_percentage_tret': None}","{'test_name': 'Stability under argon at 60°C', 'temperature': 60, 'time': 500, 'humidity': None, 'retained_percentage_cont': 81, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,
2070,,SnO2,n-i-p,,4-fluorothiophenol,21.0,,23.0,,"{'test_name': 'stability', 'temperature': None, 'time': 500, 'humidity': None, 'retained_percentage_cont': 59.7, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,4-fluorothiophenol
2071,Methylammonium lead iodide (MAPI),Indium tin oxide (ITO),NIP,2PACz,2-(9H-Carbazol-9-yl)ethylphosphonic acid (2PACz),,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,2-(9H-carbazol-9-yl)ethylphosphonic acid
2072,,SnO2,n-i-p,,Phosphorylcholine chloride (CP),21.55,1.131,24.04,1.163,"{'test_name': 'Storing stability', 'temperature': 25, 'time': 1500, 'humidity': 20, 'retained_percentage_cont': 84.4, 'retained_percentage_tret': None}","{'test_name': 'Light stability', 'temperature': 40, 'time': 600, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 81.5}",,,,,,,,,,,,,,,,,,,,,,,,,2-chloro-N
2073,,2-PACz,PIN,,polyhexamethylene guanidine hydrochloride (PHMG),23.3,1.19,25.05,1.17,"{'test_name': 'Stability test under continuous 1-sun illumination at 55°C for 41600 hours', 'temperature': 55, 'time': 41600, 'humidity': None, 'retained_percentage_cont': 497.5, 'retained_percentage_tret': 97.55}",,,,,,,,,,,,,,,,,,,,,,,,,,
2074,CsPbI3,,,,PPD,,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
2075,CsFAPbI3,spiro-OMeTAD,NIP,spiro-OMeTAD,FcPF6,20.27,1.18,22.13,1.18,"{'test_name': 'ISOS-L-1', 'temperature': 1000, 'time': '1000 h', 'humidity': 'N2', 'retained_percentage_cont': 87, 'retained_percentage_tret': None}","{'test_name': 'ISOS-L-2', 'temperature': 85, 'time': '500 h', 'humidity': '50% RH', 'retained_percentage_cont': None, 'retained_percentage_tret': 'less than 5%'}",,,,,,,,,,,,,,,,,,,,,,,,,
2076,FAPbI3,SnO2,NIP,spiro-OMeTAD,C4-GQDs,21.91,1.11,24.41,1.15,"{'test_name': 'Stability test', 'temperature': 25, 'time': 1000, 'humidity': 35, 'retained_percentage_cont': 89, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
2077,,SnO2,,,Guanidinium sulfate (Gua-S),,,22.34,1.08,"{'test_name': 'Stability test after 2000 hours', 'temperature': 25, 'time': 2000, 'humidity': None, 'retained_percentage_cont': 87, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,guanidinium sulfate
2078,FAPbI3,SnO2,NIP,spiro-OMeTAD,methyl acetate/ethyl acetate,,,6.7,1.0,"{'test_name': 'stability', 'temperature': 25, 'time': 102, 'humidity': 'ambient', 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,
2080,,,,,PyBA,,,,,"{'test_name': 'Environmental stability', 'temperature': 25, 'time': 2000, 'humidity': 80, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}","{'test_name': 'Damp-heat stability', 'temperature': 85, 'time': 1000, 'humidity': 85, 'retained_percentage_cont': None, 'retained_percentage_tret': 90}",,,,"{'test_name': 'Operational stability', 'temperature': 40, 'time': 3000, 'humidity': None, 'retained_percentage_cont': 73, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,
2081,,,,,PbSO4,,,24.1,,"{'test_name': 'Photostability', 'temperature': 65, 'time': 3000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 20}","{'test_name': 'Thermal stability', 'temperature': 85, 'time': 3000, 'humidity': 30, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,"{'test_name': 'Moisture stability', 'temperature': None, 'time': 5000, 'humidity': 65, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,Lead(II) sulfate
2082,FA 0.6 MA 0.4 PbI3,mesoporous carbon,PIN,mesoporous TiO2,Niacin,13.3,0.9,17.3,0.98,"{'test_name': 'stability', 'temperature': 25, 'time': 60, 'humidity': 40, 'retained_percentage_cont': 77.9, 'retained_percentage_tret': 92.8}",,,,,,,,,,,,,,,,,,,,,,,,,,nicotinic acid
2083,,,,,Graphene oxide (GrO),,,,,"{'test_name': 'UV/O3 oxidation stability test', 'temperature': 30, 'time': 30, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,
2084,CsFAMA,PCBM,NIP,ITO/SAM,"4'-(3,6-bis(4-(thiophen-2-yl)phenyl)-9H-carbazol-9-yl)-[1,1'-biphenyl]-4-carboxylic acid (SAM5)",,,,,"{'test_name': 'Thermal stability', 'temperature': 120, 'time': None, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}","{'test_name': 'TPV and CE measurements', 'temperature': 1, 'time': 300, 'humidity': None, 'retained_percentage_cont': 1089.8, 'retained_percentage_tret': 1731.8}",,,,,,,,,,,,,,,,,,,,,,,,,
2085,,,,,colchicine,,,,,"{'test_name': 'thermal_aging', 'temperature': 85, 'time': 1500, 'humidity': None, 'retained_percentage_cont': 83.6, 'retained_percentage_tret': None}","{'test_name': 'light_sooch', 'temperature': None, 'time': 450, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 87.6}",,,,,,,,,,,,,,,,,,,,,,,,,Colchicine
2087,,,,,PTAAO6,,,,,"{'test_name': 'ISOS-L', 'temperature': 85, 'time': 1000, 'humidity': 85, 'retained_percentage_cont': 90.2, 'retained_percentage_tret': None}","{'test_name': 'ISOS-D', 'temperature': 85, 'time': 576, 'humidity': 85, 'retained_percentage_cont': 51.0, 'retained_percentage_tret': 95.2}",,,,,,,,,,,,,,,,,,,,,,,,,
2088,,,,,Cyanopyridone-based,,,,,"{'test_name': 'Thermal stability test', 'temperature': 204, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
2090,Li7La3Zr1.6Hf0.4O12,,,,Hf4+ doped Li7La3Zr2-xHf_xO12 (x=0.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,Rb0.02 (Cs0.05 FA0.95) 0.98 PbI0.91 Br0.03 Cl0.06,SnO2,NIP,spiro-OMeTAD,KTFA,21.23,1.114,23.36,1.129,"{'test_name': 'aging', 'temperature': 30, 'time': 1200, 'humidity': None, 'retained_percentage_cont': 92, 'retained_percentage_tret': 92}",,,,,,,,,,,,,,,,,,,,,,,,,,
2095,Cs 0.1 FA 0.9 PbI 3,TiO2,,,PACl,,,18.06,0.991,"{'stability_type': 'stability_test', 'temperature': '30 ± 5 °C', 'time': 1872, 'humidity': '40 ± 10% RH', 'retained_proportion_cont': 0.28, 'retained_proportion_tret': 0.9}",,NIP,,,,,,,,,,,,,,,,,,,,,,,,
2096,,,,,Al2O3,,,,,"{'test_name': 'Stability test for Al2O3 passivation layer elimination', 'temperature': 500, 'time': 2, 'humidity': None, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,null
2097,,,,,H-TFSI,,,,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 24, 'humidity': None, 'retained_percentage_cont': 70, 'retained_percentage_tret': 85}","{'test_name': 'ISOS-L', 'temperature': 25, 'time': 24, 'humidity': None, 'retained_percentage_cont': 65, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,Hexafluoroisopropanol bis(trifluoromethanesulfonyl)imide
2098,,,,,Al2O3,,,,,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,null
2100,,,,,"1-butyl, 3-methylimidazolium acetate ([BMIM][ACO])",,,19.43,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 80, 'humidity': None, 'retained_percentage_cont': 75.21, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,1-Butyl-3-methylimidazolium acetate
2101,,SnO2,NIP,spiro-OMeTAD,PACl,19.24,1.11,22.06,1.19,"{'test_name': 'Mechanical stability', 'temperature': 23, 'time': 2000, 'humidity': None, 'retained_percentage_cont': 68, 'retained_percentage_tret': 89}",,,,,,,,,,,,,,,,,,,,,,,,,,
2103,,SnO2,NIP,Spiro-OMeTAD,MESK,,,24.67,,"{'test_name': 'stability', 'temperature': 25, 'time': 1680, 'humidity': 30, 'retained_percentage_cont': 92, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
2104,CsPbI2Br,SnO2/ZnO,NIP,P3HT,2-Amino-5-nitrothiazole,15.21,1216.0,17.13,1278.0,"{'test_name': 'thermal', 'temperature': 85, 'time': 720, 'humidity': 'air', 'retained_percentage_cont': 25, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,2-amino-5-nitrothiazole
2106,(FA0.95MA0.05)0.95Cs0.05Pb(I0.95Br0.05)3,BCP,NIP,GM-4PACz,GM-4PACz,3.9,,25.52,1.21,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 2000, 'humidity': None, 'retained_percentage_cont': 93.29, 'retained_percentage_tret': None}","{'test_name': 'ISOS-L', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 91.75}",,,,,,,,,,,,,,,,,,,,,,,,,
2107,,SnO2,,,H2SO4,22.48,1.2,24.29,1.23,"{'test_name': 'Stability test', 'temperature': 20, 'time': 1000, 'humidity': '20-25% RH', 'retained_percentage_cont': 26.51, 'retained_percentage_tret': 95.29}",,,,,,,,,,,,,,,,,,,,,,,,,,Sulfuric acid
2108,CsPbIBr2,SnO2/ITO,NIP,Spiro-OMeTAD,CO,9.37,1.34,11.0,1.34,"{'test_name': 'MPP tracking', 'temperature': 50, 'time': 500, 'humidity': 10, 'retained_percentage_cont': 66.02, 'retained_percentage_tret': 91.72}",,,,,,,,,,,,,,,,,,,,,,,,,,Carbon monoxide
2109,,,,,H*,,,,,"{'test_name': 'H* coverage durability', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
2110,,,,,SnT2,12.88,760.8,15.33,842.6,"{'test_name': 'Stability test', 'temperature': 20, 'time': 100, 'humidity': 0, 'retained_percentage_cont': 80, 'retained_percentage_tret': 80}",,,,,,,,,,,,,,,,,,,,,,,,,,
2111,,,,,H2 Pc,16.5,1.06,18.54,1.1,"{'test_name': 'ISOS-D', 'temperature': 20, 'time': 1000, 'humidity': 20, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Phthalocyanine
2112,Cs0.05(FA0.77MA0.23)0.95Pb(I0.77Br0.23)3,VNPB,NIP,PC61BM,p-FPEAI,18.59,1.137,21.63,1.239,"{'test_name': 'ISOS-L', 'temperature': 30, 'time': 4200, 'humidity': None, 'retained_percentage_cont': 20, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,
2113,,,,,Ionic liquids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2114,,,,,acrylonitrile (AN),,,24.16,1.194,"{'test_name': 'MPP tracking', 'temperature': 20, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 50, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,Acrylonitrile
2115,FAPbI3,SnO2,PIN,spiro-OMeTAD,TOPO,17.81,1.05,21.71,1.16,"{'test_name': 'Light stability', 'temperature': '30 ± 3 °C', 'time': '600 h', 'humidity': 'N2 atmosphere', 'retained_percentage_cont': 80.0, 'retained_percentage_tret': 80.0}","{'test_name': 'Thermal stability', 'temperature': '60 °C', 'time': '200 h', 'humidity': 'N2 atmosphere', 'retained_percentage_cont': 53.9, 'retained_percentage_tret': 67.8}",,,,"{'test_name': 'Environmental stability', 'temperature': '25 ± 3 °C', 'time': '1200 h', 'humidity': '30% RH', 'retained_percentage_cont': 500, 'retained_percentage_tret': 1200}",,,,,,,,,,,,,,,,,,,,,
2116,,,,,PEAI,,,23.32,1.18,"{'test_name': None, 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Phenylethylammonium iodide
2118,,,,,NaBr,,,98.0,,"{'test_name': 'Stability test in toluene-water biphasic system', 'temperature': None, 'time': '70 hours', 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': 40}",,,,,,,,,,,,,,,,,,,,,,,,,,sodium bromide
2119,,,,,PCBB-3N-3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,,,,,PMAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,,SnO2,,SpiroOMeTAD,PEACl,19.17,1105.0,21.88,1163.0,"{'stability_type': 'Stability at ambient conditions', 'temperature': 25, 'time': 30, 'humidity': 40, 'retained_proportion_cont': 0.8821, 'retained_proportion_tret': None}","{'stability_type': 'Thermal stability', 'temperature': 85, 'time': 200, 'humidity': None, 'retained_proportion_cont': 0.7193, 'retained_proportion_tret': 0.5961000000000001}",n-i-p,,,,,,,,,,,,,,,,,,,,,,,,
2122,,SnO2,,,SnO2 with TiCl4 treatment,,,,,"{'test_name': 'Stability test', 'temperature': 25, 'time': 60, 'humidity': None, 'retained_percentage_cont': 82, 'retained_percentage_tret': None}","{'test_name': 'Stability test', 'temperature': 25, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 90, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,
2123,,,PIN,WP1,WP1,22.85,1.126,24.04,,"{'test_name': 'stability', 'temperature': 25, 'time': 72, 'humidity': '25%RH', 'retained_percentage_cont': 87, 'retained_percentage_tret': 76}",,,,,,,,,,,,,,,,,,,,,,,,,,
2125,,,,,2-chloro-phenethylammonium iodide (2-Cl-PEAI),,,23.3,1.2,"{'test_name': 'Stability test', 'temperature': None, 'time': 2000, 'humidity': 40, 'retained_percentage_cont': 90, 'retained_percentage_tret': 98.5}",,,,,,,,,,,,,,,,,,,,,,,,,,2-chloro-phenethylammonium iodide
2126,,,,,methylammonium acetate (MAAc),,,21.18,,"{'test_name': 'stability test', 'temperature': 85, 'time': 500, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,methylammonium acetate
2127,,Cs:SnO2,,,Cs-doped SnO2,20.23,,22.1,,"{'test_name': 'Stability test', 'temperature': None, 'time': 1500, 'humidity': ' >65%', 'retained_percentage_cont': 90, 'retained_percentage_tret': 90}",,,,,,,,,,,,,,,,,,,,,,,,,,
2128,,,,,BDPF6,20.36,1.14,22.68,1.175,"{'test_name': 'Moisture stability', 'temperature': 25, 'time': 1400, 'humidity': '10-20%', 'retained_percentage_cont': 85, 'retained_percentage_tret': 97}",,,,,,,,,,,,,,,,,,,,,,,,,,
2132,,,,NiO_x/SAM,MeO-2PACz,,,21.7,1.08,"{'stability_type': 'stability', 'temperature': 25, 'time': 800, 'humidity': '20-30', 'retained_proportion_cont': 0.8200000000000001, 'retained_proportion_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
2133,,,,,4-trifluoromethyl-phenylammonium iodine (CF3 PhAI),,,20.11,1.2,"{'test_name': None, 'temperature': None, 'time': 1750, 'humidity': None, 'retained_percentage_cont': 85, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,4-(trifluoromethyl)phenylammonium iodide
2134,,,,,CoTPP,,,,,"{'test_name': 'ISOS-D', 'temperature': 25, 'time': 24, 'humidity': 50, 'retained_percentage_cont': 100, 'retained_percentage_tret': 100}",,,,,,,,,,,,,,,,,,,,,,,,,,Cobalt(III) meso-tetraphenylporphyrin
2135,,,,,Ph-TFSI,20.11,1.099,21.82,1.124,"{'test_name': 'ISOS-T', 'temperature': None, 'time': 30, 'humidity': '50-70%', 'retained_percentage_cont': 63, 'retained_percentage_tret': 88}",,,,,,,,,,,,,,,,,,,,,,,,,,phenyl(trifluoromethylsulfonyl)imide
2137,,,,,"2,6-pyridinedicarboxamide (PC)",19.75,1.238,22.07,1.342,"{'test_name': 'Thermal stability', 'temperature': 65, 'time': 1000, 'humidity': None, 'retained_percentage_cont': 9.9, 'retained_percentage_tret': 96.34}",,,,,,,,,,,,,,,,,,,,,,,,,,2
2138,,,,,"2, 6-bis(aminomethyl)pyridine (BAMPy)",,,,,"{'test_name': 'damp-heat', 'temperature': 85, 'time': 2400, 'humidity': 85, 'retained_percentage_cont': 90.8, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,2
2139,,,,,Fe-Mn modified biochar (FMBC),,,,,"{'test_name': 'ISOS-L', 'temperature': None, 'time': 1440, 'humidity': None, 'retained_percentage_cont': 83.9, 'retained_percentage_tret': 71.92}",,,,,,,,,,,,,,,,,,,,,,,,,,
2140,,,,,Choline acetate (CA),22.3,1.08,24.03,1.14,"{'test_name': 'Humidity', 'temperature': 40, 'time': 288, 'humidity': 40, 'retained_percentage_cont': 30, 'retained_percentage_tret': 10}","{'test_name': 'Thermal stress', 'temperature': 60, 'time': 400, 'humidity': None, 'retained_percentage_cont': 10, 'retained_percentage_tret': 20}",,,,,,,,,,,,,,,,,,,,,,,,,2-hydroxyethyl(trimethyl)azanium acetate
2142,,,,,CdI2,,,24.49,1.177,"{'test_name': None, 'temperature': None, 'time': 1600, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 87}",,,,,,,,,,,,,,,,,,,,,,,,,,Cadmium iodide
2143,,,,,"4-bromo-2,6-diaminopyridine (4BrDP)",,,13.4,881.0,"{'test_name': 'N2 storage', 'temperature': 2000, 'time': '2000 h', 'humidity': None, 'retained_percentage_cont': 91, 'retained_percentage_tret': None}","{'test_name': '85 °C', 'temperature': 85, 'time': 1000, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': 82}",,,71.26,,,,,,,,,,,,,,,,,,,,,,4-bromo-2
2145,MAPbI3,TiO2 nanorod array and nanoparticles (RP-TiO2),NIP,Carbon,γ-butyrolactone,14.32,0.915,16.07,0.948,"{'test_name': 'Stability test', 'temperature': 25, 'time': 1500, 'humidity': '30-40%', 'retained_percentage_cont': 93, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,gamma-Butyrolactone
2146,,NiOx,,,TP-MN,,,,,"{'test_name': 'shelf-storage', 'temperature': None, 'time': 4000, 'humidity': None, 'retained_percentage_cont': 80, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,
2150,,,,,Platinum (Pt),,,,,"{'test_name': 'ISOS-D', 'temperature': None, 'time': None, 'humidity': None, 'retained_percentage_cont': None, 'retained_percentage_tret': None}",,,,,,,,,,,,,,,,,,,,,,,,,,platinum
2152,CsPbIBr2,TiO2,PIN,Carbon,BMIMAc,7.87,1.213,10.3,1.361,"{'test_name': 'Accelerated degradation', 'temperature': 85, 'time': 420, 'humidity': '50~60% RH', 'retained_percentage_cont': 92.7, 'retained_percentage_tret': 96.3}",,,,,,,,,,,,,,,,,,,,,,,,,,
2153,,,,,PMMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,poly(methyl methacrylate)
2154,Cu2ZnSnS4,,,,Al2O3,3.82,468.0,5.5600000000000005,582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,null
